-0.02,0.10,0.06,0.13,0.08,-0.07,0.19,-0.03,-0.02,N/A,0.07,0.03,N/A,-0.02,-0.03,0.08,0.37,0.06,0.04,0.05,0.03,1,0.03,-0.01,0.03,N/A,-0.04,N/A,0.02,0.16,0.09,0.05,N/A,0.05,0.03,N/A,N/A,0.04,0.07,-0.04,0.03,N/A,0.12,0.12,0.10,0.02,0.21,N/A,0.07,0.07,-0.01,0.15,0.16,N/A,-0.07,0.18,-0.01,N/A,0.14
0.04,-0.04,0.25,0.05,0.14,0.10,0.26,0.02,-0.00,N/A,-0.02,-0.01,N/A,0.04,0.32,0.14,0.09,-0.08,0.13,0.01,0.02,0.03,1,0.02,0.08,N/A,0.15,N/A,0.09,0.20,0.08,-0.04,N/A,0.11,0.05,N/A,N/A,0.02,0.05,0.05,0.00,N/A,0.37,0.07,0.03,0.03,0.24,N/A,0.20,0.05,0.09,0.15,0.14,N/A,0.20,0.08,0.02,N/A,0.16
-0.06,-0.10,0.03,-0.07,0.07,0.04,0.04,0.31,-0.01,N/A,-0.04,-0.01,N/A,-0.02,-0.07,0.06,-0.01,0.09,-0.01,-0.05,0.06,-0.01,0.02,1,0.12,N/A,0.01,N/A,-0.02,0.03,-0.00,-0.00,N/A,-0.01,-0.01,N/A,N/A,0.02,-0.05,-0.04,-0.00,N/A,0.05,-0.02,0.03,0.35,0.04,N/A,-0.04,-0.02,0.05,0.04,-0.02,N/A,-0.04,-0.02,1.00,N/A,0.08
0.21,0.01,0.08,0.03,0.11,0.00,0.07,0.07,0.02,N/A,0.00,0.03,N/A,-0.01,0.14,-0.02,0.11,0.02,0.02,-0.00,0.06,0.03,0.08,0.12,1,N/A,0.05,N/A,-0.05,0.12,0.15,0.06,N/A,0.06,0.03,N/A,N/A,-0.01,0.05,0.04,-0.00,N/A,0.12,0.04,-0.00,0.08,0.11,N/A,0.02,0.02,-0.02,0.11,0.09,N/A,0.01,0.10,0.12,N/A,0.08
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.04,0.07,0.08,0.08,0.11,-0.05,0.10,0.01,0.09,N/A,0.04,0.03,N/A,-0.02,0.01,0.02,0.02,0.03,0.17,-0.07,0.05,-0.04,0.15,0.01,0.05,N/A,1,N/A,0.04,0.14,0.05,0.14,N/A,0.02,0.00,N/A,N/A,0.10,0.05,0.13,0.02,N/A,0.12,0.03,-0.00,-0.01,0.13,N/A,0.00,0.01,-0.09,0.07,0.12,N/A,0.05,0.08,0.01,N/A,0.07
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.00,0.06,0.17,0.20,0.06,0.18,0.06,0.03,0.01,N/A,0.13,-0.01,N/A,0.04,0.02,0.05,0.10,0.08,0.01,0.06,0.09,0.02,0.09,-0.02,-0.05,N/A,0.04,N/A,1,0.15,0.16,-0.02,N/A,-0.04,0.54,N/A,N/A,0.08,0.06,0.03,0.11,N/A,0.14,0.11,0.20,0.13,0.17,N/A,0.01,0.05,0.04,0.16,0.20,N/A,0.01,0.17,-0.02,N/A,0.13
0.15,0.08,0.14,0.46,0.52,0.04,0.30,0.08,0.08,N/A,0.12,0.14,N/A,0.06,0.10,0.29,0.17,0.09,0.19,0.08,0.25,0.16,0.20,0.03,0.12,N/A,0.14,N/A,0.15,1,0.58,0.24,N/A,0.04,0.17,N/A,N/A,0.10,0.17,0.14,0.10,N/A,0.62,0.46,0.15,0.23,0.84,N/A,0.15,0.30,0.04,0.55,0.60,N/A,0.23,0.60,0.03,N/A,0.52
0.62,0.03,0.07,0.43,0.23,0.04,0.18,0.05,0.07,N/A,0.04,0.46,N/A,0.06,0.14,0.24,0.19,0.14,0.14,-0.01,0.21,0.09,0.08,-0.00,0.15,N/A,0.05,N/A,0.16,0.58,1,0.10,N/A,0.03,0.11,N/A,N/A,0.19,0.09,0.15,0.03,N/A,0.48,0.35,0.16,0.17,0.57,N/A,0.09,0.18,0.04,0.53,0.51,N/A,0.09,0.50,-0.00,N/A,0.49
