0.92,0.68,0.68,0.93,0.90,0.86,0.86,0.26,0.66,0.49,0.58,0.36,1,0.07,0.83,0.71,0.33,0.14,0.59,0.82,0.87,0.37,0.31,0.92,0.89,0.27,0.85,0.41,0.07,0.83,0.51,0.55,0.26,0.87,0.92,0.47,0.91,0.85,0.91,0.85,0.17,0.89,0.86,0.83
0.11,0.06,0.08,0.10,0.09,0.09,0.09,0.11,0.06,0.09,0.12,0.03,0.07,1,0.08,0.10,0.06,0.02,0.01,0.13,0.12,0.10,0.09,0.11,0.07,0.01,0.08,0.02,0.01,0.10,0.05,0.05,0.02,0.10,0.10,-0.00,0.10,0.08,0.10,0.11,-0.02,0.10,0.09,0.07
0.87,0.64,0.65,0.89,0.87,0.84,0.86,0.30,0.56,0.42,0.59,0.36,0.83,0.08,1,0.60,0.40,0.13,0.56,0.74,0.85,0.43,0.34,0.86,0.83,0.28,0.84,0.46,0.07,0.80,0.52,0.52,0.23,0.86,0.87,0.44,0.86,0.83,0.90,0.81,0.30,0.85,0.85,0.77
0.66,0.54,0.53,0.70,0.66,0.67,0.62,0.23,0.55,0.43,0.47,0.33,0.71,0.10,0.60,1,0.29,0.06,0.48,0.66,0.66,0.28,0.27,0.69,0.68,0.18,0.65,0.34,-0.00,0.63,0.39,0.47,0.19,0.62,0.69,0.45,0.68,0.63,0.66,0.64,0.11,0.65,0.63,0.70
0.38,0.44,0.51,0.41,0.39,0.44,0.42,0.41,0.30,0.25,0.36,0.29,0.33,0.06,0.40,0.29,1,0.08,0.35,0.37,0.47,0.38,0.30,0.41,0.37,0.32,0.44,0.21,0.10,0.44,0.46,0.35,0.10,0.44,0.40,0.22,0.41,0.43,0.42,0.38,0.19,0.43,0.38,0.35
0.17,0.22,0.21,0.15,0.18,0.18,0.20,0.08,0.05,0.11,0.15,0.02,0.14,0.02,0.13,0.06,0.08,1,0.14,0.14,0.16,0.20,0.21,0.15,0.18,0.27,0.16,0.24,0.02,0.19,0.23,0.24,-0.01,0.12,0.15,0.11,0.13,0.16,0.14,0.13,0.05,0.15,0.14,0.19
0.56,0.51,0.50,0.60,0.59,0.62,0.57,0.22,0.42,0.36,0.40,0.31,0.59,0.01,0.56,0.48,0.35,0.14,1,0.56,0.59,0.28,0.40,0.56,0.64,0.27,0.62,0.30,0.11,0.56,0.38,0.42,0.14,0.56,0.63,0.44,0.57,0.58,0.59,0.57,0.15,0.60,0.54,0.57
0.84,0.68,0.69,0.86,0.83,0.86,0.76,0.30,0.62,0.51,0.60,0.39,0.82,0.13,0.74,0.66,0.37,0.14,0.56,1,0.82,0.44,0.35,0.84,0.82,0.29,0.82,0.44,0.12,0.79,0.51,0.55,0.30,0.78,0.85,0.48,0.83,0.81,0.82,0.82,0.23,0.80,0.79,0.79
0.92,0.74,0.77,0.95,0.92,0.90,0.89,0.38,0.61,0.47,0.65,0.46,0.87,0.12,0.85,0.66,0.47,0.16,0.59,0.82,1,0.45,0.38,0.92,0.89,0.35,0.88,0.46,0.08,0.87,0.59,0.62,0.25,0.90,0.93,0.51,0.90,0.89,0.94,0.87,0.19,0.90,0.90,0.88
0.42,0.52,0.57,0.43,0.43,0.43,0.45,0.29,0.32,0.18,0.46,0.22,0.37,0.10,0.43,0.28,0.38,0.20,0.28,0.44,0.45,1,0.29,0.45,0.39,0.38,0.41,0.37,0.05,0.51,0.62,0.50,0.04,0.38,0.42,0.21,0.39,0.37,0.40,0.42,0.23,0.44,0.41,0.41
0.35,0.34,0.37,0.38,0.37,0.35,0.40,0.26,0.21,0.18,0.31,0.21,0.31,0.09,0.34,0.27,0.30,0.21,0.40,0.35,0.38,0.29,1,0.35,0.39,0.15,0.39,0.19,0.13,0.40,0.33,0.33,0.10,0.34,0.38,0.23,0.35,0.37,0.35,0.37,0.08,0.38,0.37,0.37
0.95,0.74,0.75,0.95,0.92,0.90,0.89,0.34,0.64,0.49,0.66,0.40,0.92,0.11,0.86,0.69,0.41,0.15,0.56,0.84,0.92,0.45,0.35,1,0.89,0.34,0.88,0.46,0.10,0.87,0.59,0.64,0.24,0.90,0.93,0.49,0.91,0.87,0.94,0.87,0.20,0.89,0.90,0.87
