-0.00,-0.03,0.19,0.09,0.06,0.11,0.04,0.16,0.21,0.01,0.25,0.23,0.02,0.03,0.17,0.06,0.12,0.05,0.18,0.10,0.11,0.04,-0.03,0.16,0.16,0.06,0.10,-0.00,0.12,0.02,1,0.01,N/A,N/A,0.03,0.26,0.33,0.16,0.08,0.09,0.01,0.07,0.07,0.01,0.03,0.02
-0.01,-0.01,0.08,0.04,0.02,-0.01,-0.02,-0.01,0.01,-0.02,0.02,0.03,0.05,0.00,0.05,0.06,0.10,0.15,0.04,-0.01,0.04,0.05,0.01,0.04,0.10,-0.00,0.05,0.01,0.01,-0.07,0.01,1,N/A,N/A,-0.06,0.06,0.11,-0.04,0.02,0.04,0.03,0.07,0.06,0.00,0.00,-0.05
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
-0.04,0.07,0.11,0.14,0.12,0.19,0.18,0.16,0.20,0.07,0.18,0.06,0.05,0.01,0.08,0.07,0.14,0.08,0.27,0.03,0.12,0.11,0.10,0.05,0.04,0.31,0.20,0.11,0.09,0.04,0.03,-0.06,N/A,N/A,1,0.01,0.22,0.04,0.08,0.07,0.09,0.02,-0.00,0.14,0.12,0.17
-0.00,-0.00,0.25,0.04,0.02,0.17,0.06,0.13,0.25,0.02,0.42,0.30,0.01,0.22,0.22,0.04,0.11,0.03,0.13,0.15,0.12,0.00,0.00,0.07,0.18,-0.01,0.05,0.04,0.10,-0.01,0.26,0.06,N/A,N/A,0.01,1,0.44,0.17,0.22,0.09,0.02,0.00,0.17,0.02,0.01,-0.01
0.01,0.04,0.51,0.28,0.30,0.37,0.08,0.35,0.45,0.11,0.49,0.46,0.13,0.24,0.27,0.16,0.38,0.26,0.40,0.21,0.35,0.16,0.05,0.20,0.35,0.11,0.35,0.11,0.39,0.11,0.33,0.11,N/A,N/A,0.22,0.44,1,0.36,0.29,0.27,0.18,0.09,0.18,0.16,0.11,0.13
0.02,0.02,0.21,0.06,0.04,0.14,0.02,0.20,0.20,0.03,0.20,0.16,-0.02,0.01,0.11,0.02,0.21,0.04,0.13,0.19,0.07,0.01,-0.03,0.03,0.13,-0.02,0.08,0.02,0.25,0.02,0.16,-0.04,N/A,N/A,0.04,0.17,0.36,1,0.09,0.09,0.06,0.03,0.07,0.08,0.03,0.01
-0.01,-0.01,0.20,0.04,0.14,0.06,0.06,0.11,0.22,0.05,0.23,0.28,0.01,0.25,0.51,0.02,0.19,0.10,0.10,0.06,0.11,0.01,0.01,0.05,0.15,0.02,0.11,0.03,0.15,0.01,0.08,0.02,N/A,N/A,0.08,0.22,0.29,0.09,1,0.04,0.07,0.03,0.16,0.00,0.04,0.01
0.01,0.01,0.17,0.18,0.07,0.10,0.03,0.08,0.09,0.16,0.22,0.12,0.07,0.14,0.09,0.05,0.13,0.12,0.10,0.06,0.09,0.18,0.04,0.08,0.13,0.04,0.08,0.04,0.26,0.18,0.09,0.04,N/A,N/A,0.07,0.09,0.27,0.09,0.04,1,0.15,0.01,0.03,0.05,0.02,0.02
0.03,-0.02,0.12,0.19,0.05,0.33,0.02,0.07,0.11,0.06,0.09,0.04,0.02,0.02,0.01,0.04,0.16,0.02,0.18,0.15,0.29,0.49,0.09,0.03,-0.02,-0.02,0.19,0.02,0.03,0.02,0.01,0.03,N/A,N/A,0.09,0.02,0.18,0.06,0.07,0.15,1,0.03,0.20,0.00,0.06,0.05
0.01,0.03,0.10,0.22,0.09,0.07,0.08,0.19,0.02,-0.03,0.05,0.07,0.05,0.05,0.02,0.08,0.04,-0.00,0.08,0.03,0.21,0.05,0.00,0.50,0.21,-0.03,0.07,0.04,0.02,-0.00,0.07,0.07,N/A,N/A,0.02,0.00,0.09,0.03,0.03,0.01,0.03,1,0.02,0.04,0.06,0.03
-0.00,-0.04,0.10,0.19,0.10,0.23,-0.00,0.18,0.17,0.03,0.08,0.04,-0.00,0.17,0.10,0.17,0.09,0.01,0.13,0.04,0.22,0.12,-0.03,0.04,0.11,-0.00,0.05,0.08,-0.02,0.07,0.07,0.06,N/A,N/A,-0.00,0.17,0.18,0.07,0.16,0.03,0.20,0.02,1,0.01,0.08,0.02
0.03,0.79,0.12,0.08,0.15,0.08,0.12,0.06,0.16,0.03,0.08,0.06,0.03,0.02,0.17,0.27,0.05,0.14,0.13,0.02,0.01,0.03,0.05,0.05,0.12,0.01,0.14,-0.01,0.09,0.15,0.01,0.00,N/A,N/A,0.14,0.02,0.16,0.08,0.00,0.05,0.00,0.04,0.01,1,0.06,0.01
0.02,0.05,0.09,0.22,0.04,0.13,0.09,0.12,0.13,-0.07,0.07,0.01,0.08,0.02,0.03,0.23,0.03,0.02,0.16,-0.02,0.19,0.13,0.11,0.04,0.03,-0.00,0.18,0.07,0.04,0.02,0.03,0.00,N/A,N/A,0.12,0.01,0.11,0.03,0.04,0.02,0.06,0.06,0.08,0.06,1,-0.01
-0.01,-0.01,0.05,0.25,0.03,0.08,-0.01,0.08,0.00,-0.08,0.11,0.01,0.04,0.01,-0.02,-0.02,0.09,-0.00,0.04,0.01,0.16,0.21,-0.01,0.01,-0.00,0.04,0.02,-0.01,0.01,-0.02,0.02,-0.05,N/A,N/A,0.17,-0.01,0.13,0.01,0.01,0.02,0.05,0.03,0.02,0.01,-0.01,1
