0.01,0.01,0.04,N/A,0.08,0.02,0.04,N/A,0.06,0.07,0.05,0.40,0.00,0.78,N/A,0.03,0.01,-0.03,N/A,0.14,0.29,N/A,0.05,0.06,1,0.05,0.03,0.06,0.02,N/A,0.03,0.02,N/A,0.03,N/A,0.10,0.06,0.02,0.11,0.01,0.35,N/A,0.03,0.07,0.03,N/A,0.06
0.02,0.11,0.06,N/A,0.22,0.02,0.04,N/A,0.13,0.27,0.19,0.06,0.02,0.07,N/A,0.04,0.04,-0.05,N/A,0.13,0.08,N/A,0.09,0.08,0.05,1,0.02,0.05,0.09,N/A,0.14,0.17,N/A,0.30,N/A,0.17,0.20,-0.03,0.15,0.03,0.04,N/A,0.01,0.19,0.32,N/A,0.02
0.06,0.03,0.03,N/A,0.09,0.00,0.01,N/A,0.01,0.21,0.15,0.05,0.07,0.06,N/A,-0.02,0.04,0.01,N/A,-0.02,0.01,N/A,0.03,0.04,0.03,0.02,1,0.06,0.07,N/A,0.09,0.16,N/A,0.06,N/A,0.05,0.04,0.06,0.06,0.05,0.11,N/A,0.10,0.06,0.05,N/A,0.01
0.19,0.15,0.17,N/A,0.18,-0.01,0.03,N/A,0.14,0.27,0.26,0.22,0.07,0.08,N/A,-0.03,0.10,0.20,N/A,0.13,0.11,N/A,0.36,0.31,0.06,0.05,0.06,1,0.05,N/A,0.17,0.17,N/A,0.15,N/A,0.19,0.18,0.08,0.21,0.14,0.11,N/A,0.39,0.12,-0.05,N/A,0.16
-0.06,-0.04,0.01,N/A,0.08,0.06,0.01,N/A,-0.00,0.08,0.05,0.00,0.09,0.04,N/A,-0.03,0.03,0.05,N/A,0.01,0.00,N/A,0.02,0.07,0.02,0.09,0.07,0.05,1,N/A,0.10,-0.01,N/A,0.13,N/A,0.13,0.05,-0.04,0.09,-0.01,0.08,N/A,0.02,0.26,-0.07,N/A,-0.01
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.02,0.16,0.15,N/A,0.14,0.03,0.04,N/A,0.06,0.25,0.21,0.09,0.07,0.07,N/A,0.03,0.03,0.01,N/A,0.01,0.00,N/A,0.10,0.22,0.03,0.14,0.09,0.17,0.10,N/A,1,0.21,N/A,0.28,N/A,0.07,0.09,-0.03,0.28,0.05,0.15,N/A,0.11,0.14,-0.01,N/A,0.06
0.15,0.13,0.19,N/A,0.16,0.02,0.05,N/A,0.13,0.35,0.38,0.15,0.09,0.10,N/A,0.07,0.13,0.08,N/A,-0.00,0.10,N/A,0.10,0.27,0.02,0.17,0.16,0.17,-0.01,N/A,0.21,1,N/A,0.28,N/A,0.11,0.12,0.21,0.27,0.27,0.31,N/A,0.02,0.16,0.08,N/A,0.03
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.10,0.14,N/A,0.09,0.06,0.11,N/A,0.03,0.30,0.28,0.07,0.00,0.14,N/A,0.07,0.03,0.03,N/A,0.04,0.05,N/A,0.14,0.17,0.03,0.30,0.06,0.15,0.13,N/A,0.28,0.28,N/A,1,N/A,0.05,0.14,-0.04,0.22,0.12,0.12,N/A,0.03,0.15,0.18,N/A,0.02
