N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.07,0.17,N/A,N/A,0.11,0.20,-0.00,0.09,N/A,0.24,0.34,0.00,0.06,0.05,N/A,0.08,0.12,0.00,0.06,N/A,N/A,1,0.00,N/A,0.11,N/A,N/A,N/A,0.30,N/A,0.00,0.32,-0.03,0.15,N/A,0.28,0.29,N/A,0.00,0.28,-0.03,0.14,0.16,0.23,0.16,N/A,0.29,N/A,0.09,N/A,0.13,N/A,0.28,0.23,0.18,N/A,0.14,0.23,0.11,N/A,N/A,N/A,N/A,N/A
0.06,0.05,N/A,N/A,0.06,0.14,0.04,0.04,N/A,0.13,0.13,0.03,0.02,0.01,N/A,0.00,-0.02,0.07,0.03,N/A,N/A,0.00,1,N/A,0.08,N/A,N/A,N/A,0.15,N/A,1.00,0.15,-0.00,0.19,N/A,0.16,0.15,N/A,0.02,0.11,-0.01,-0.01,0.05,0.03,0.09,N/A,0.15,N/A,0.02,N/A,0.09,N/A,0.11,0.12,0.08,N/A,-0.01,0.10,0.04,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.16,N/A,N/A,0.05,0.11,0.03,0.07,N/A,0.25,0.20,0.04,0.05,-0.00,N/A,0.13,0.04,0.04,0.03,N/A,N/A,0.11,0.08,N/A,1,N/A,N/A,N/A,0.14,N/A,0.08,0.23,0.04,0.10,N/A,0.15,0.15,N/A,0.08,0.24,0.01,-0.00,0.10,0.08,0.04,N/A,0.12,N/A,0.02,N/A,-0.01,N/A,0.24,0.09,0.09,N/A,-0.00,0.18,0.00,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.14,0.37,N/A,N/A,0.18,0.72,0.10,0.22,N/A,0.60,0.71,0.16,0.22,0.09,N/A,0.23,0.14,0.18,0.09,N/A,N/A,0.30,0.15,N/A,0.14,N/A,N/A,N/A,1,N/A,0.15,0.76,0.04,0.38,N/A,0.79,0.90,N/A,0.16,0.68,0.04,0.03,0.57,0.31,0.69,N/A,0.90,N/A,0.23,N/A,0.69,N/A,0.68,0.69,0.33,N/A,0.03,0.55,0.15,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.06,0.05,N/A,N/A,0.06,0.14,0.04,0.04,N/A,0.13,0.13,0.03,0.02,0.01,N/A,0.00,-0.02,0.07,0.03,N/A,N/A,0.00,1.00,N/A,0.08,N/A,N/A,N/A,0.15,N/A,1,0.15,-0.00,0.19,N/A,0.16,0.15,N/A,0.02,0.11,-0.01,-0.01,0.05,0.03,0.09,N/A,0.15,N/A,0.02,N/A,0.09,N/A,0.11,0.12,0.08,N/A,-0.01,0.10,0.04,N/A,N/A,N/A,N/A,N/A
0.14,0.47,N/A,N/A,0.22,0.52,0.08,0.27,N/A,0.80,0.90,0.19,0.23,0.11,N/A,0.31,0.13,0.14,0.16,N/A,N/A,0.32,0.15,N/A,0.23,N/A,N/A,N/A,0.76,N/A,0.15,1,0.06,0.38,N/A,0.69,0.78,N/A,0.19,0.84,0.05,0.07,0.33,0.40,0.33,N/A,0.74,N/A,0.18,N/A,0.25,N/A,0.84,0.52,0.42,N/A,0.07,0.72,0.17,N/A,N/A,N/A,N/A,N/A
-0.00,0.02,N/A,N/A,-0.04,0.01,-0.07,0.02,N/A,0.05,0.08,0.02,0.18,-0.06,N/A,0.01,0.26,0.02,0.19,N/A,N/A,-0.03,-0.00,N/A,0.04,N/A,N/A,N/A,0.04,N/A,-0.00,0.06,1,-0.00,N/A,0.08,0.05,N/A,-0.03,0.08,0.30,0.00,-0.00,0.01,0.09,N/A,0.05,N/A,0.10,N/A,0.03,N/A,0.08,0.04,0.10,N/A,0.00,-0.01,0.06,N/A,N/A,N/A,N/A,N/A
0.07,0.23,N/A,N/A,0.20,0.27,0.05,0.13,N/A,0.30,0.35,0.16,0.07,0.02,N/A,0.19,0.07,0.07,-0.01,N/A,N/A,0.15,0.19,N/A,0.10,N/A,N/A,N/A,0.38,N/A,0.19,0.38,-0.00,1,N/A,0.32,0.33,N/A,0.04,0.38,0.02,0.05,0.21,0.19,0.19,N/A,0.33,N/A,0.05,N/A,0.17,N/A,0.38,0.31,0.21,N/A,0.05,0.34,0.10,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.15,0.35,N/A,N/A,0.19,0.69,0.07,0.18,N/A,0.56,0.64,0.17,0.18,0.06,N/A,0.25,0.17,0.14,0.12,N/A,N/A,0.28,0.16,N/A,0.15,N/A,N/A,N/A,0.79,N/A,0.16,0.69,0.08,0.32,N/A,1,0.85,N/A,0.13,0.62,0.03,0.03,0.18,0.27,0.67,N/A,0.84,N/A,0.10,N/A,0.68,N/A,0.62,0.63,0.24,N/A,0.03,0.51,0.13,N/A,N/A,N/A,N/A,N/A
