0.13,0.21,0.18,0.15,0.10,0.15,0.09,0.01,-0.04,0.05,1,0.18,0.19,0.05,0.07,0.18,0.21,0.04,0.06,-0.01,0.18,0.09,0.28,0.09,0.07,0.06,0.29,0.09,N/A,N/A,0.07,0.12,0.10,0.67,0.07,0.30,-0.02
0.17,0.45,0.42,0.42,0.17,0.07,0.26,0.01,-0.01,0.11,0.18,1,0.17,0.28,0.11,0.16,0.26,0.06,0.05,0.08,0.37,0.06,0.42,-0.01,0.01,0.21,0.67,0.10,N/A,N/A,0.05,0.19,-0.04,0.22,0.07,0.68,-0.01
0.09,0.20,0.32,0.15,0.01,0.07,0.01,0.00,0.01,0.06,0.19,0.17,1,0.22,0.01,0.11,0.06,0.17,0.06,0.02,0.14,-0.04,0.19,0.02,0.02,0.04,0.27,0.10,N/A,N/A,0.03,0.10,0.01,0.19,0.09,0.27,0.08
0.07,0.22,0.22,0.19,0.09,0.07,0.15,0.15,0.03,0.12,0.05,0.28,0.22,1,0.11,0.08,0.21,0.10,0.09,0.07,0.23,0.09,0.28,-0.01,0.08,0.21,0.23,0.02,N/A,N/A,0.04,0.08,0.01,0.10,0.11,0.25,0.02
0.07,0.15,0.17,0.15,0.06,0.06,0.08,-0.02,0.05,0.01,0.07,0.11,0.01,0.11,1,0.14,0.05,0.01,0.01,0.05,0.17,-0.00,0.16,0.02,0.04,0.11,0.18,0.01,N/A,N/A,0.36,0.08,0.02,0.09,0.05,0.18,-0.02
0.00,0.17,0.20,0.15,0.05,0.08,0.09,0.00,-0.03,0.00,0.18,0.16,0.11,0.08,0.14,1,0.09,0.00,0.16,-0.01,0.15,0.02,0.27,0.00,-0.07,0.17,0.24,0.03,N/A,N/A,0.02,0.01,-0.00,0.13,-0.05,0.25,-0.01
0.13,0.26,0.26,0.29,0.45,0.14,0.14,0.56,0.08,0.51,0.21,0.26,0.06,0.21,0.05,0.09,1,0.07,0.03,0.22,0.37,0.03,0.37,0.05,0.13,0.17,0.37,0.11,N/A,N/A,0.04,0.14,0.11,0.31,0.10,0.36,0.04
-0.07,0.12,0.12,0.03,0.05,-0.02,0.06,0.02,-0.08,0.09,0.04,0.06,0.17,0.10,0.01,0.00,0.07,1,-0.05,-0.01,0.03,-0.01,0.05,0.08,-0.03,-0.00,0.08,0.06,N/A,N/A,0.01,-0.06,0.03,0.06,-0.01,0.08,-0.06
0.13,0.02,0.06,0.02,0.01,0.05,0.05,-0.02,0.07,-0.04,0.06,0.05,0.06,0.09,0.01,0.16,0.03,-0.05,1,0.03,0.11,-0.00,0.16,-0.10,-0.07,0.06,0.08,-0.02,N/A,N/A,0.02,0.14,-0.05,0.06,0.02,0.10,-0.00
0.18,0.13,0.06,0.07,0.05,0.05,0.08,0.00,0.81,0.03,-0.01,0.08,0.02,0.07,0.05,-0.01,0.22,-0.01,0.03,1,0.46,-0.01,0.14,0.08,0.11,0.03,0.12,0.07,N/A,N/A,0.01,0.20,0.09,0.09,0.04,0.11,-0.01
0.22,0.41,0.39,0.35,0.10,0.16,0.33,0.02,0.35,0.08,0.18,0.37,0.14,0.23,0.17,0.15,0.37,0.03,0.11,0.46,1,0.05,0.55,0.15,0.08,0.31,0.49,0.11,N/A,N/A,0.05,0.24,0.13,0.29,0.08,0.51,0.03
0.02,0.15,0.06,0.01,-0.04,0.12,0.03,-0.01,-0.01,-0.04,0.09,0.06,-0.04,0.09,-0.00,0.02,0.03,-0.01,-0.00,-0.01,0.05,1,0.07,0.03,-0.03,0.00,0.10,-0.01,N/A,N/A,0.08,0.02,-0.09,0.15,0.03,0.11,0.01
