0.15,N/A,0.48,0.47,0.63,0.41,0.41,0.15,0.34,0.09,0.09,0.15,0.16,N/A,0.14,N/A,N/A,0.13,N/A,0.20,0.09,1,0.35,0.61,N/A,0.57,0.28,0.63,0.28,N/A,0.13,N/A,0.22,0.01,0.14,0.11,0.38,0.21,0.09,N/A,0.12,0.10,N/A,0.11,0.20,N/A,0.19,0.27,0.60,0.16,N/A,0.25,0.36,0.22,N/A,0.04,0.62,0.18,N/A,0.12,0.19,0.15,0.12
0.11,N/A,0.44,0.41,0.48,0.44,0.44,0.24,0.22,0.07,0.10,0.13,0.29,N/A,0.17,N/A,N/A,0.11,N/A,0.24,0.10,0.35,1,0.45,N/A,0.49,0.26,0.36,0.17,N/A,0.14,N/A,0.14,0.11,0.22,0.15,0.89,0.18,0.06,N/A,0.14,0.07,N/A,0.15,0.25,N/A,0.16,0.38,0.38,0.12,N/A,0.23,0.83,0.12,N/A,0.11,0.53,0.21,N/A,0.12,0.24,0.14,0.04
0.19,N/A,0.59,0.61,0.99,0.58,0.58,0.24,0.40,0.15,0.10,0.20,0.20,N/A,0.20,N/A,N/A,0.18,N/A,0.29,0.10,0.61,0.45,1,N/A,0.67,0.38,0.70,0.28,N/A,0.26,N/A,0.25,0.08,0.21,0.14,0.47,0.28,0.06,N/A,0.08,0.10,N/A,0.14,0.23,N/A,0.21,0.33,0.67,0.27,N/A,0.34,0.49,0.22,N/A,0.15,0.76,0.26,N/A,0.09,0.24,0.27,0.16
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.17,N/A,0.63,0.59,0.71,0.66,0.66,0.43,0.38,0.11,0.14,0.21,0.38,N/A,0.18,N/A,N/A,0.18,N/A,0.36,0.14,0.57,0.49,0.67,N/A,1,0.36,0.64,0.24,N/A,0.18,N/A,0.23,0.08,0.38,0.13,0.53,0.26,0.09,N/A,0.14,0.29,N/A,0.13,0.38,N/A,0.18,0.37,0.62,0.28,N/A,0.32,0.58,0.19,N/A,0.06,0.77,0.44,N/A,0.09,0.36,0.30,0.19
0.10,N/A,0.27,0.87,0.40,0.30,0.30,0.14,0.17,0.10,0.09,0.07,0.10,N/A,0.12,N/A,N/A,0.15,N/A,0.11,0.09,0.28,0.26,0.38,N/A,0.36,1,0.33,0.18,N/A,0.20,N/A,0.14,0.07,0.07,0.08,0.24,0.10,0.03,N/A,0.13,0.10,N/A,0.08,0.14,N/A,0.15,0.17,0.30,0.45,N/A,0.93,0.26,0.10,N/A,0.06,0.44,0.10,N/A,0.04,0.06,0.17,0.12
0.14,N/A,0.55,0.53,0.72,0.46,0.46,0.19,0.40,0.10,0.09,0.22,0.22,N/A,0.19,N/A,N/A,0.15,N/A,0.18,0.09,0.63,0.36,0.70,N/A,0.64,0.33,1,0.23,N/A,0.22,N/A,0.19,0.01,0.19,0.13,0.41,0.29,0.04,N/A,0.11,0.13,N/A,0.13,0.20,N/A,0.20,0.27,0.68,0.21,N/A,0.30,0.39,0.25,N/A,0.04,0.68,0.26,N/A,0.10,0.18,0.15,0.17
0.11,N/A,0.24,0.23,0.28,0.22,0.22,0.12,0.08,0.06,0.02,0.04,0.13,N/A,0.02,N/A,N/A,0.10,N/A,0.09,0.02,0.28,0.17,0.28,N/A,0.24,0.18,0.23,1,N/A,0.11,N/A,0.20,0.01,0.10,0.06,0.20,0.14,0.02,N/A,-0.03,0.04,N/A,0.06,0.07,N/A,0.12,0.10,0.22,0.14,N/A,0.15,0.21,0.08,N/A,-0.00,0.32,0.07,N/A,0.06,0.14,0.12,0.04
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.03,N/A,0.12,0.26,0.26,0.19,0.19,0.10,0.06,0.05,0.03,0.07,0.02,N/A,0.08,N/A,N/A,0.03,N/A,0.06,0.03,0.13,0.14,0.26,N/A,0.18,0.20,0.22,0.11,N/A,1,N/A,0.04,0.06,0.01,-0.00,0.11,0.09,0.01,N/A,0.10,0.01,N/A,-0.00,0.06,N/A,0.05,0.10,0.17,0.15,N/A,0.20,0.13,0.09,N/A,0.02,0.21,0.01,N/A,0.06,0.04,0.04,0.03
