0.17,0.28,0.15,0.01,0.33,0.14,0.26,N/A,0.23,0.51,-0.04,N/A,0.15,N/A,0.35,0.23,N/A,0.33,0.26,0.10,0.35,0.34,0.24,0.25,0.05,N/A,0.10,0.29,N/A,0.08,1,0.40,0.14,0.28,N/A,N/A,0.36,N/A,0.43,0.06,0.41
0.31,0.52,0.25,0.10,0.31,0.10,0.08,N/A,0.13,0.25,-0.01,N/A,0.20,N/A,0.31,0.31,N/A,0.07,0.23,0.38,0.27,0.57,0.20,0.36,0.12,N/A,0.23,0.38,N/A,0.04,0.40,1,0.40,0.36,N/A,N/A,0.24,N/A,0.54,0.05,0.39
0.41,0.32,0.16,0.08,0.42,0.14,0.19,N/A,0.20,0.27,0.02,N/A,0.09,N/A,0.32,0.23,N/A,0.01,0.43,0.56,0.18,0.42,0.21,0.42,0.13,N/A,0.16,0.41,N/A,0.06,0.14,0.40,1,0.25,N/A,N/A,0.07,N/A,0.23,0.05,0.26
0.37,0.39,0.43,0.10,0.41,0.13,0.22,N/A,0.14,0.32,-0.02,N/A,0.17,N/A,0.29,0.27,N/A,0.16,0.25,0.23,0.22,0.29,0.18,0.25,0.44,N/A,0.41,0.36,N/A,0.07,0.28,0.36,0.25,1,N/A,N/A,0.17,N/A,0.13,0.01,0.17
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.13,0.11,0.22,0.15,0.31,0.46,0.09,N/A,0.18,0.41,-0.08,N/A,0.41,N/A,0.37,0.12,N/A,0.12,0.34,0.06,0.35,0.04,0.24,0.13,-0.02,N/A,0.08,0.00,N/A,0.01,0.36,0.24,0.07,0.17,N/A,N/A,1,N/A,0.15,0.16,0.19
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0.10,0.15,0.18,0.06,0.20,0.07,0.04,N/A,0.36,0.21,-0.02,N/A,0.03,N/A,0.17,0.18,N/A,0.05,0.17,0.13,0.07,0.37,0.15,0.27,0.05,N/A,0.09,0.15,N/A,0.05,0.43,0.54,0.23,0.13,N/A,N/A,0.15,N/A,1,0.09,0.58
0.23,0.13,-0.04,0.10,0.27,0.42,0.16,N/A,0.01,0.09,-0.08,N/A,-0.10,N/A,0.25,0.07,N/A,0.00,0.17,0.11,0.24,0.04,0.09,0.17,0.09,N/A,0.06,0.07,N/A,-0.05,0.06,0.05,0.05,0.01,N/A,N/A,0.16,N/A,0.09,1,0.04
0.20,0.20,0.01,0.04,0.37,0.03,0.02,N/A,0.60,0.30,0.02,N/A,0.12,N/A,0.36,0.31,N/A,0.04,0.35,0.24,0.07,0.28,0.14,0.38,0.11,N/A,0.07,0.30,N/A,0.06,0.41,0.39,0.26,0.17,N/A,N/A,0.19,N/A,0.58,0.04,1
